# Generated by go test ./internal/textobj/ -run TestVimTable -update
# from VIM - Vi IMproved 9.2 (2026 Feb 14, compiled Apr 08 2026 05:28:52), Included patches: 1-321, one row per run of cursor columns that answer alike.
# fixture	object	line	columns (1-based)	span: - none, V first-last, c line,col-line,col (0-based, half-open)
words.txt	iw	1	1-5	c 1,0-1,5
words.txt	iw	1	6	c 1,5-1,6
words.txt	iw	1	7-11	c 1,6-1,11
words.txt	iw	1	12-13	c 1,11-1,13
words.txt	iw	1	14-16	c 1,13-1,16
words.txt	iw	2	1-2	c 2,0-2,2
words.txt	iw	2	3-5	c 2,2-2,5
words.txt	iw	2	6	c 2,5-2,6
words.txt	iw	2	7-9	c 2,6-2,9
words.txt	iw	2	10	c 2,9-2,10
words.txt	iw	2	11-13	c 2,10-2,13
words.txt	iw	3	1	c 3,0-3,1
words.txt	iw	3	2-4	c 3,1-3,4
words.txt	iw	3	5	c 3,4-3,5
words.txt	iw	3	6-9	c 3,5-3,9
words.txt	iw	4	1	c 4,0-4,0
words.txt	iw	5	1-8	c 5,0-5,8
words.txt	iw	5	9-11	c 5,8-5,11
words.txt	iw	6	1-3	c 6,0-6,3
words.txt	iw	7	1-4	c 7,0-7,5
words.txt	iw	7	6	c 7,5-7,6
words.txt	iw	7	7	c 7,6-7,11
words.txt	iw	7	9-11	c 7,6-7,11
words.txt	iw	7	12	c 7,11-7,12
words.txt	iw	7	13-17	c 7,12-7,19
words.txt	iw	7	19	c 7,12-7,19
words.txt	iw	7	20	c 7,19-7,20
words.txt	iw	7	21	c 7,20-7,21
words.txt	iw	8	1	c 8,0-8,1
words.txt	iw	8	2	c 8,1-8,2
words.txt	iw	8	3	c 8,2-8,3
words.txt	iw	8	4-5	c 8,3-8,5
words.txt	iw	8	6	c 8,5-8,6
words.txt	iw	8	7-8	c 8,6-8,8
words.txt	iw	8	9	c 8,8-8,9
words.txt	iW	1	1-5	c 1,0-1,5
words.txt	iW	1	6	c 1,5-1,6
words.txt	iW	1	7-11	c 1,6-1,11
words.txt	iW	1	12-13	c 1,11-1,13
words.txt	iW	1	14-16	c 1,13-1,16
words.txt	iW	2	1-2	c 2,0-2,2
words.txt	iW	2	3-13	c 2,2-2,13
words.txt	iW	3	1	c 3,0-3,1
words.txt	iW	3	2-4	c 3,1-3,4
words.txt	iW	3	5	c 3,4-3,5
words.txt	iW	3	6-9	c 3,5-3,9
words.txt	iW	4	1	c 4,0-4,0
words.txt	iW	5	1-8	c 5,0-5,8
words.txt	iW	5	9-11	c 5,8-5,11
words.txt	iW	6	1-3	c 6,0-6,3
words.txt	iW	7	1-4	c 7,0-7,5
words.txt	iW	7	6	c 7,5-7,6
words.txt	iW	7	7	c 7,6-7,19
words.txt	iW	7	9-17	c 7,6-7,19
words.txt	iW	7	19	c 7,6-7,19
words.txt	iW	7	20	c 7,19-7,20
words.txt	iW	7	21	c 7,20-7,21
words.txt	iW	8	1-6	c 8,0-8,6
words.txt	iW	8	7-8	c 8,6-8,8
words.txt	iW	8	9	c 8,8-8,9
words.txt	is	1	1-16	V 1-3
words.txt	is	2	1-13	V 1-3
words.txt	is	3	1-9	V 1-3
words.txt	is	4	1	V 4-4
words.txt	is	5	1-11	c 5,0-8,9
words.txt	is	6	1-3	c 5,0-8,9
words.txt	is	7	1-4	c 5,0-8,9
words.txt	is	7	6-7	c 5,0-8,9
words.txt	is	7	9-17	c 5,0-8,9
words.txt	is	7	19-21	c 5,0-8,9
words.txt	is	8	1-9	c 5,0-8,9
words.txt	ip	1	1-16	V 1-3
words.txt	ip	2	1-13	V 1-3
words.txt	ip	3	1-9	V 1-3
words.txt	ip	4	1	V 4-4
words.txt	ip	5	1-11	V 5-8
words.txt	ip	6	1-3	V 5-8
words.txt	ip	7	1-4	V 5-8
words.txt	ip	7	6-7	V 5-8
words.txt	ip	7	9-17	V 5-8
words.txt	ip	7	19-21	V 5-8
words.txt	ip	8	1-9	V 5-8
words.txt	i(	1	1-16	-
words.txt	i(	2	1-13	-
words.txt	i(	3	1-9	-
words.txt	i(	4	1	-
words.txt	i(	5	1-11	-
words.txt	i(	6	1-3	-
words.txt	i(	7	1-4	-
words.txt	i(	7	6-7	-
words.txt	i(	7	9-17	-
words.txt	i(	7	19-21	-
words.txt	i(	8	1-9	-
words.txt	i)	1	1-16	-
words.txt	i)	2	1-13	-
words.txt	i)	3	1-9	-
words.txt	i)	4	1	-
words.txt	i)	5	1-11	-
words.txt	i)	6	1-3	-
